"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
">Amount List","","","","","","",""
"SOLVENT","labware_6","50 mL Falcon Tube","A1","WATER","12","mL",""
"SOLVENT","labware_6","50 mL Falcon Tube","A2","MED_A","18","mL",""
"DRUG STOCK","labware_9","1.5 mL Eppendorf Tube","A1","CIP","300","uL",""
"DRUG STOCK","labware_9","1.5 mL Eppendorf Tube","A2","TOB","300","uL",""
"DRUG STOCK","labware_9","1.5 mL Eppendorf Tube","A3","AMI","300","uL",""
"INOCULUM","labware_3","15 mL Falcon Tube","A1","STR_A","5","mL",""
"INOCULUM","labware_3","15 mL Falcon Tube","A2","STR_B","5","mL",""
">CommandLines","","","","","","",""
"labware_6","A2","labware_5","A1","450","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","A2","225","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","A3","337.5","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","A4","393.75","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","A5","421.875","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","A6","435.9375","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","B1","442.96875","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","B2","446.484375","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","B3","448.2421875","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","B4","867.5821875","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","B5","450","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","B6","225","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","C1","337.5","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","C2","393.75","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","C3","421.875","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","C4","435.9375","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","C5","442.96875","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","C6","446.484375","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","D1","448.2421875","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","D2","867.5821875","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","D3","450","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","D4","225","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","D5","337.5","0","1","Initial solvent distribution"
"labware_6","A2","labware_5","D6","393.75","0","1","Initial solvent distribution"
"labware_6","A2","labware_8","A1","421.875","0","1","Initial solvent distribution"
"labware_6","A2","labware_8","A2","435.9375","0","1","Initial solvent distribution"
"labware_6","A2","labware_8","A3","442.96875","0","1","Initial solvent distribution"
"labware_6","A2","labware_8","A4","446.484375","0","1","Initial solvent distribution"
"labware_6","A2","labware_8","A5","448.2421875","0","1","Initial solvent distribution"
"labware_6","A2","labware_8","B1","867.5821875","0","1","Initial solvent distribution"
"labware_9","A1","labware_5","B4","30.66","30.66","2","Initial stock dilution"
"labware_9","A2","labware_5","D2","30.66","30.66","3","Initial stock dilution"
"labware_9","A3","labware_8","B1","30.66","30.66","4","Initial stock dilution"
"labware_5","B4","labware_5","B3","448.2421875","448.2421875","5","Serially diluting to  CIP 128 MED_A"
"labware_5","B3","labware_5","B2","446.484375","446.484375","6","Serially diluting to  CIP 64 MED_A"
"labware_5","B2","labware_5","B1","442.96875","442.96875","7","Serially diluting to  CIP 32 MED_A"
"labware_5","B1","labware_5","A6","435.9375","435.9375","8","Serially diluting to  CIP 16 MED_A"
"labware_5","A6","labware_5","A5","421.875","421.875","9","Serially diluting to  CIP 8 MED_A"
"labware_5","A5","labware_5","A4","393.75","393.75","10","Serially diluting to  CIP 4 MED_A"
"labware_5","A4","labware_5","A3","337.5","337.5","11","Serially diluting to  CIP 2 MED_A"
"labware_5","A3","labware_5","A2","225","225","12","Serially diluting to  CIP 1 MED_A"
"labware_5","D2","labware_5","D1","448.2421875","448.2421875","13","Serially diluting to  TOB 128 MED_A"
"labware_5","D1","labware_5","C6","446.484375","446.484375","14","Serially diluting to  TOB 64 MED_A"
"labware_5","C6","labware_5","C5","442.96875","442.96875","15","Serially diluting to  TOB 32 MED_A"
"labware_5","C5","labware_5","C4","435.9375","435.9375","16","Serially diluting to  TOB 16 MED_A"
"labware_5","C4","labware_5","C3","421.875","421.875","17","Serially diluting to  TOB 8 MED_A"
"labware_5","C3","labware_5","C2","393.75","393.75","18","Serially diluting to  TOB 4 MED_A"
"labware_5","C2","labware_5","C1","337.5","337.5","19","Serially diluting to  TOB 2 MED_A"
"labware_5","C1","labware_5","B6","225","225","20","Serially diluting to  TOB 1 MED_A"
"labware_8","B1","labware_8","A5","448.2421875","448.2421875","21","Serially diluting to  AMI 128 MED_A"
"labware_8","A5","labware_8","A4","446.484375","446.484375","22","Serially diluting to  AMI 64 MED_A"
"labware_8","A4","labware_8","A3","442.96875","442.96875","23","Serially diluting to  AMI 32 MED_A"
"labware_8","A3","labware_8","A2","435.9375","435.9375","24","Serially diluting to  AMI 16 MED_A"
"labware_8","A2","labware_8","A1","421.875","421.875","25","Serially diluting to  AMI 8 MED_A"
"labware_8","A1","labware_5","D6","393.75","393.75","26","Serially diluting to  AMI 4 MED_A"
"labware_5","D6","labware_5","D5","337.5","337.5","27","Serially diluting to  AMI 2 MED_A"
"labware_5","D5","labware_5","D4","225","225","28","Serially diluting to  AMI 1 MED_A"
"labware_5","A1","labware_2","B11, C11","150","0","29","Distributing  CIP 0 MED_A"
"labware_5","A2","labware_2","B10, C10","150","0","30","Distributing  CIP 1 MED_A"
"labware_5","A3","labware_2","B9, C9","150","0","31","Distributing  CIP 2 MED_A"
"labware_5","A4","labware_2","B8, C8","150","0","32","Distributing  CIP 4 MED_A"
"labware_5","A5","labware_2","B7, C7","150","0","33","Distributing  CIP 8 MED_A"
"labware_5","A6","labware_2","B6, C6","150","0","34","Distributing  CIP 16 MED_A"
"labware_5","B1","labware_2","B5, C5","150","0","35","Distributing  CIP 32 MED_A"
"labware_5","B2","labware_2","B4, C4","150","0","36","Distributing  CIP 64 MED_A"
"labware_5","B3","labware_2","B3, C3","150","0","37","Distributing  CIP 128 MED_A"
"labware_5","B4","labware_2","B2, C2","150","0","38","Distributing  CIP 256 MED_A"
"labware_5","B5","labware_2","D11, E11","150","0","39","Distributing  TOB 0 MED_A"
"labware_5","B6","labware_2","D10, E10","150","0","40","Distributing  TOB 1 MED_A"
"labware_5","C1","labware_2","D9, E9","150","0","41","Distributing  TOB 2 MED_A"
"labware_5","C2","labware_2","D8, E8","150","0","42","Distributing  TOB 4 MED_A"
"labware_5","C3","labware_2","D7, E7","150","0","43","Distributing  TOB 8 MED_A"
"labware_5","C4","labware_2","D6, E6","150","0","44","Distributing  TOB 16 MED_A"
"labware_5","C5","labware_2","D5, E5","150","0","45","Distributing  TOB 32 MED_A"
"labware_5","C6","labware_2","D4, E4","150","0","46","Distributing  TOB 64 MED_A"
"labware_5","D1","labware_2","D3, E3","150","0","47","Distributing  TOB 128 MED_A"
"labware_5","D2","labware_2","D2, E2","150","0","48","Distributing  TOB 256 MED_A"
"labware_5","D3","labware_2","F11, G11","150","0","49","Distributing  AMI 0 MED_A"
"labware_5","D4","labware_2","F10, G10","150","0","50","Distributing  AMI 1 MED_A"
"labware_5","D5","labware_2","F9, G9","150","0","51","Distributing  AMI 2 MED_A"
"labware_5","D6","labware_2","F8, G8","150","0","52","Distributing  AMI 4 MED_A"
"labware_8","A1","labware_2","F7, G7","150","0","53","Distributing  AMI 8 MED_A"
"labware_8","A2","labware_2","F6, G6","150","0","54","Distributing  AMI 16 MED_A"
"labware_8","A3","labware_2","F5, G5","150","0","55","Distributing  AMI 32 MED_A"
"labware_8","A4","labware_2","F4, G4","150","0","56","Distributing  AMI 64 MED_A"
"labware_8","A5","labware_2","F3, G3","150","0","57","Distributing  AMI 128 MED_A"
"labware_8","B1","labware_2","F2, G2","150","0","58","Distributing  AMI 256 MED_A"
"labware_6","A1","labware_2","A1, A2, A3, A4, A5, A6, A7, A8, A9, A10, A11, A12, B1, B12, C1, C12, D1, D12, E1, E12, F1, F12, G1, G12, H1, H2, H3, H4, H5, H6, H7, H8, H9, H10, H11, H12","200","0","59","Filling outer wells with WATER"
"labware_6","A2","labware_2","F11, G11","50","0","60","Adding blank medium"
"labware_3","A1","labware_2","B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, F2, F3, F4, F5, F6, F7, F8, F9, F10","50","50","61","Inoculating:  STR_A"
"labware_3","A2","labware_2","C2, C3, C4, C5, C6, C7, C8, C9, C10, C11, E2, E3, E4, E5, E6, E7, E8, E9, E10, E11, G2, G3, G4, G5, G6, G7, G8, G9, G10","50","50","62","Inoculating:  STR_B"
